location,summer_temp_max,predicted_change,lower_bound,upper_bound
Kalbarri,23.18146324,16.688520841524223,7.104763024251344,26.272278658797102
Kalbarri,23.203481191010102,15.636053628479658,6.182441209441327,25.089666047517987
Kalbarri,23.2254991420202,14.583586415435093,5.257568376820524,23.909604454049664
Kalbarri,23.247517093030304,13.5311192023903,4.330038398395363,22.732200006385238
Kalbarri,23.269535044040403,12.478651989345735,3.399741576491369,21.5575624022001
Kalbarri,23.291552995050505,11.42618477630117,2.466564727128439,20.3858048254739
Kalbarri,23.313570946060604,10.373717563256605,1.5303913007945056,19.217043825718704
Kalbarri,23.335588897070707,9.321250350211812,0.5911015450036636,18.05139915541996
Kalbarri,23.357606848080806,8.268783137167247,-0.3514272869299635,16.888993561264456
Kalbarri,23.37962479909091,7.216315924122682,-1.2973206765469776,15.729952524792342
Kalbarri,23.401642750101008,6.163848711078117,-2.246706526165255,14.574403948321489
Kalbarri,23.42366070111111,5.1113814980333245,-3.199714786277948,13.422477782344597
Kalbarri,23.445678652121213,4.058914284988532,-4.1564770211742434,12.274305591151307
Kalbarri,23.467696603131312,3.0064470719441942,-5.117125910282827,11.130020054171215
Kalbarri,23.489714554141415,1.9539798588994017,-6.081794683711516,9.98975440151032
Kalbarri,23.511732505151514,0.9015126458548366,-7.050616491658618,8.85364178336829
Kalbarri,23.533750456161616,-0.15095456718995592,-8.023723708833717,7.721814574453806
Kalbarri,23.555768407171715,-1.2034217802342937,-9.001247176680252,6.594403616211664
Kalbarri,23.577786358181818,-2.255888993279086,-9.983315388089206,5.471537401531034
Kalbarri,23.599804309191917,-3.3083562063236513,-10.97005362131403,4.353341208666726
Kalbarri,23.62182226020202,-4.360823419368444,-11.961583031962672,3.239936193225785
Kalbarri,23.64384021121212,-5.413290632413009,-12.95801971409172,2.1314384492657013
Kalbarri,23.66585816222222,-6.465757845457574,-13.959473743550095,1.0279580526349479
Kalbarri,23.687876113232324,-7.518225058502367,-14.966048218636617,-0.07040189836811628
Kalbarri,23.709894064242423,-8.570692271546932,-15.977838314784584,-1.1635462283092792
Kalbarri,23.731912015252526,-9.623159484591497,-16.994930371222573,-2.2513885979604193
Kalbarri,23.753929966262625,-10.675626697636062,-18.017401028274627,-3.3338523669974958
Kalbarri,23.775947917272727,-11.728093910680855,-19.04531643408251,-4.4108713872792
Kalbarri,23.797965868282827,-12.78056112372542,-20.07873153896245,-5.48239070848839
Kalbarri,23.81998381929293,-13.833028336769985,-21.117689494340524,-6.548367179199444
Kalbarri,23.84200177030303,-14.88549554981455,-22.16222117122589,-7.608769928403208
Kalbarri,23.86401972131313,-15.937962762859343,-23.212344810559543,-8.663580715159142
Kalbarri,23.88603767232323,-16.990429975903908,-24.268065814582087,-9.712794137225728
Kalbarri,23.908055623333333,-18.042897188948473,-25.32937668475676,-10.756417693140186
Kalbarri,23.930073574343435,-19.095364401993265,-26.39625710790036,-11.79447169608617
Kalbarri,23.952091525353534,-20.14783161503783,-27.468674188226498,-12.826989041849163
Kalbarri,23.974109476363637,-21.200298828082396,-28.546582819160292,-13.854014837004499
Kalbarri,23.996127427373736,-22.25276604112696,-29.629926185222676,-14.875605897031246
Kalbarri,24.01814537838384,-23.305233254171753,-30.718636381185206,-15.891830127158302
Kalbarri,24.040163329393938,-24.35770046721632,-31.812635133160924,-16.902765801271713
Kalbarri,24.06218128040404,-25.410167680260884,-32.91183460443872,-17.908500756083047
Kalbarri,24.08419923141414,-26.46263489330545,-34.01613826770175,-18.90913151890915
Kalbarri,24.106217182424242,-27.51510210635024,-35.125441824828016,-19.904762387872466
Kalbarri,24.12823513343434,-28.567569319394806,-36.239634155680776,-20.895504483108837
Kalbarri,24.150253084444444,-29.6200365324396,-37.35859827811447,-21.88147478676473
Kalbarri,24.172271035454546,-30.672503745484164,-38.48221230272116,-22.86279518824717
Kalbarri,24.194288986464645,-31.72497095852873,-39.61035036755212,-23.839591549505336
Kalbarri,24.216306937474748,-32.77743817157352,-40.74288354000278,-24.81199280314426
Kalbarri,24.238324888484847,-33.82990538461809,-41.879680675178896,-25.780130094057277
Kalbarri,24.26034283949495,-34.88237259766265,-43.020609222234775,-26.74413597309053
Kalbarri,24.28236079050505,-35.93483981070722,-44.165535972299026,-27.70414364911541
Kalbarri,24.30437874151515,-36.98730702375201,-45.31432774362948,-28.660286303874543
Kalbarri,24.32639669252525,-38.039774236796575,-46.46685200147909,-29.61269647211406
Kalbarri,24.348414643535353,-39.09224144984114,-47.622977411799866,-30.561505487882414
Kalbarri,24.370432594545456,-40.14470866288593,-48.78257432931167,-31.506842996460197
Kalbarri,24.392450545555555,-41.1971758759305,-49.94551522163997,-32.44883653022102
Kalbarri,24.414468496565657,-42.24964308897506,-51.11167503216236,-33.387611145787766
Kalbarri,24.436486447575756,-43.30211030201963,-52.28093148491255,-34.323289119126706
Kalbarri,24.45850439858586,-44.35457751506442,-53.45316533541176,-35.25598969471708
Kalbarri,24.480522349595958,-45.407044728108986,-54.6282605716239,-36.18582888459407
Kalbarri,24.50254030060606,-46.45951194115355,-55.80610456941758,-37.112919312889524
Kalbarri,24.52455825161616,-47.511979154198116,-56.98658820695906,-38.03737010143717
Kalbarri,24.546576202626262,-48.56444636724291,-58.169605942414556,-38.95928679207126
Kalbarri,24.56859415363636,-49.61691358028747,-59.355055859196455,-39.87877130137849
Kalbarri,24.590612104646464,-50.66938079333204,-60.542839682796725,-40.79592190386735
Kalbarri,24.612630055656567,-51.72184800637683,-61.73286277299941,-41.71083323975425
Kalbarri,24.634648006666666,-52.774315219421396,-62.925034095000235,-42.62359634384256
Kalbarri,24.65666595767677,-53.82678243246619,-64.11926617267396,-43.53429869225842
Kalbarri,24.678683908686867,-54.87924964551053,-65.31547502692891,-44.443024264092145
Kalbarri,24.70070185969697,-55.93171685855532,-66.51358010181228,-45.34985361529836
Kalbarri,24.72271981070707,-56.984184071599884,-67.71350418072774,-46.25486396247203
Kalbarri,24.74473776171717,-58.03665128464468,-68.91517329488072,-47.15812927440864
Kalbarri,24.76675571272727,-59.089118497689014,-70.11851662578991,-48.05972036958812
Kalbarri,24.788773663737373,-60.14158571073381,-71.32346640348996,-48.95970501797766
Kalbarri,24.810791614747473,-61.19405292377837,-72.52995780181175,-49.858148045745004
Kalbarri,24.832809565757575,-62.246520136823165,-73.73792883195365,-50.75511144169268
Kalbarri,24.854827516767678,-63.29898734986773,-74.94732023535533,-51.650654464380125
Kalbarri,24.876845467777777,-64.3514545629123,-76.15807537674614,-52.54483374907846
Kalbarri,24.89886341878788,-65.40392177595709,-77.3701401380834,-53.437703413830775
Kalbarri,24.92088136979798,-66.45638898900165,-78.5834628139783,-54.329315164025
Kalbarri,24.94289932080808,-67.50885620204622,-79.79799400909724,-55.21971839499519
Kalbarri,24.96491727181818,-68.56132341509078,-81.01368653792248,-56.108960292259084
Kalbarri,24.986935222828283,-69.61379062813558,-82.23049532718194,-56.99708592908921
Kalbarri,25.008953173838382,-70.66625784118014,-83.44837732117753,-57.88413836118275
Kalbarri,25.030971124848485,-71.7187250542247,-84.6672913901876,-58.77015871826181
Kalbarri,25.052989075858584,-72.77119226726927,-85.88719824205614,-59.6551862924824
Kalbarri,25.075007026868686,-73.82365948031406,-87.10806033704712,-60.539258623581006
Kalbarri,25.09702497787879,-74.87612669335863,-88.32984180599601,-61.42241158072125
Kalbarri,25.119042928888888,-75.9285939064032,-89.55250837176719,-62.30467944103919
Kalbarri,25.14106087989899,-76.98106111944799,-90.77602727399197,-63.18609496490401
Kalbarri,25.16307883090909,-78.03352833249255,-92.0003671970454,-64.0666894679397
Kalbarri,25.185096781919192,-79.08599554553712,-93.225498201206,-64.94649288986824
Kalbarri,25.20711473292929,-80.13846275858168,-94.45139165691901,-65.82553386024435
Kalbarri,25.229132683939394,-81.19092997162647,-95.67802018208506,-66.70383976116788
Kalbarri,25.251150634949493,-82.24339718467104,-96.90535758227752,-67.58143678706456
Kalbarri,25.273168585959596,-83.2958643977156,-98.13337879379651,-68.4583500016347
Kalbarri,25.295186536969695,-84.34833161076017,-99.36205982945212,-69.33460339206822
Kalbarri,25.317204487979797,-85.40079882380496,-100.59137772697709,-70.21021992063284
Kalbarri,25.3392224389899,-86.45326603684975,-101.82131049996087,-71.08522157373864
Kalbarri,25.36124039,-87.50573324989409,-103.05183709120213,-71.95962940858605
