location,lat,lon,temperature,net_photo
Jurien Bay,-30,115,10.04398747,0.634510735
Jurien Bay,-30,115,14.95380513,1.007216814
Jurien Bay,-30,115,20.01948756,1.628393218
Jurien Bay,-30,115,21.96782695,1.876863542
Jurien Bay,-30,115,24.07203112,2.063216582
Jurien Bay,-30,115,26.02037052,1.970039766
Jurien Bay,-30,115,28.04664824,1.56627534
Jurien Bay,-30,115,30.07292003,1.255687139
Marmion,-31.85,115.7,10.02597264,0.575129082
Marmion,-31.85,115.7,15.01298632,0.917098719
Marmion,-31.85,115.7,20,1.616580019
Marmion,-31.85,115.7,22.02597264,2.098445679
Marmion,-31.85,115.7,24.05194527,2.347150115
Marmion,-31.85,115.7,26.07792385,1.989637266
Marmion,-31.85,115.7,28.02597561,1.601036214
Marmion,-31.85,115.7,30.05194824,1.22797956
Hamelin Bay,-34.2,115,10.02597264,0.406249826
Hamelin Bay,-34.2,115,14.93506544,0.796874888
Hamelin Bay,-34.2,115,19.92207912,1.453124516
Hamelin Bay,-34.2,115,21.94805176,2.26562536
Hamelin Bay,-34.2,115,23.97402439,2.57812541
Hamelin Bay,-34.2,115,26.07792385,2.23437464
Hamelin Bay,-34.2,115,28.02597561,1.406250224
Hamelin Bay,-34.2,115,30.05194824,0.531250323
Coal Point,-43.3,147.3,5.573679,5.123594932
Coal Point,-43.3,147.3,5.573679,6.404848283
Coal Point,-43.3,147.3,5.573679,2.872755387
Coal Point,-43.3,147.3,5.573679,5.633666546
Coal Point,-43.3,147.3,5.573679,3.803766737
Coal Point,-43.3,147.3,8.577466,2.397982847
Coal Point,-43.3,147.3,8.577466,1.509977452
Coal Point,-43.3,147.3,8.577466,4.782858353
Coal Point,-43.3,147.3,8.577466,1.325818309
Coal Point,-43.3,147.3,8.577466,6.625719102
Coal Point,-43.3,147.3,12.822541,3.259010808
Coal Point,-43.3,147.3,12.822541,2.252887602
Coal Point,-43.3,147.3,12.822541,8.091096754
Coal Point,-43.3,147.3,12.822541,4.369351733
Coal Point,-43.3,147.3,12.822541,4.20161559
Coal Point,-43.3,147.3,16.689178,3.339627303
Coal Point,-43.3,147.3,16.689178,1.563504294
Coal Point,-43.3,147.3,16.689178,7.59470904
Coal Point,-43.3,147.3,16.689178,4.251055443
Coal Point,-43.3,147.3,16.689178,6.488268988
Coal Point,-43.3,147.3,20.042443,5.034345976
Coal Point,-43.3,147.3,20.042443,2.862376486
Coal Point,-43.3,147.3,20.042443,2.71268842
Coal Point,-43.3,147.3,20.042443,9.312041691
Coal Point,-43.3,147.3,22.592218,2.08746051
Coal Point,-43.3,147.3,22.592218,5.246782519
Coal Point,-43.3,147.3,22.592218,4.956928126
Coal Point,-43.3,147.3,22.592218,4.393102824
Coal Point,-43.3,147.3,22.592218,4.885577646
Coal Point,-43.3,147.3,25.633529,2.996402611
Coal Point,-43.3,147.3,25.633529,2.045818844
Coal Point,-43.3,147.3,25.633529,2.350524049
Coal Point,-43.3,147.3,25.633529,3.823910808
Coal Point,-43.3,147.3,25.633529,4.443137723
Coal Point,-43.3,147.3,28.835129,1.508441546
Coal Point,-43.3,147.3,28.835129,0
Coal Point,-43.3,147.3,28.835129,0
Coal Point,-43.3,147.3,28.835129,0
Coal Point,-43.3,147.3,28.835129,0
